Question,Direct Search Response,Latency Direct,Direct_Letter
Q 21 What is a key motivation for the Managed Element (ME) concept?,"B) It is a tightly integrated and tested group of MFs deployed together.  Explanation: The Managed Element (ME) concept is motivated by the desire for a tightly integrated and tested group of Managed Functions (MFs) that can be deployed together, providing a more efficient and effective way to manage network functions.",67.9807 ms,B
Q 22 Which of the following is NOT an example of an O-RAN Managed Function?,"B) O-DU  Explanation: O-DU is not an example of an O-RAN Managed Function, but rather a component of the O-RAN architecture. The other options (A, C, and D) are all examples of O-RAN Managed Functions.",67.8385 ms,B
Q 23 What does CCIN stand for?,"B) Communication and Computing Integrated Networks.  Explanation: CCIN stands for Communication and Computing Integrated Networks, which is a network architecture that combines computing and communication networks to provide a unified infrastructure for various applications and services.",65.9002 ms,B
Q 24 What is the primary goal of CCIN?,"B) To provide beyond-connection services and bring new value to operators.  Explanation: CCIN's primary goal is to offer services that go beyond basic connectivity, such as enhanced security, analytics, and AI-based applications, in order to bring new value to operators and their customers.",69.7579 ms,B
Q 25 At which level of CCIN integration are communication and computing jointly scheduled in real-time?,"C) Level 3  Explanation: At Level 3 of CCIN (Computing and Communication Integration) integration, communication and computing are jointly scheduled in real-time.",67.9978 ms,C
Q 26 At Level 1 of CCIN integration what is the relationship between computing and communication?,"B) They interact via established APIs.  Explanation: At Level 1 of CCIN integration, computing and communication are closely related as they interact via established APIs, allowing for seamless exchange of data and functionality between the two domains.",69.0787 ms,B
Q 27 In CCIN,A) The correct answer is A) Near-RT RIC.  Explanation: Near-RT RIC (Real-Time Radio Interface Control) is responsible for registering computing services with the SME (Service Management Entity).,66.5942 ms,A
Q 28 How does the Near-RT RIC obtain computing information for Y1 exposure?,"B) From E2 nodes via E2.  Explanation: The Near-RT RIC obtains computing information for Y1 exposure from E2 nodes via E2, as stated in the question.",65.0030 ms,B
Q 29 Which organization initiated the computing-aware traffic steering working group in March 2023?,[B] ETSI,66.0585 ms,B
Q 30 Which of the following is a use case for computing-aware traffic steering studied by IETF?,"Sure, I'd be happy to help! Here's the answer to your question:  C) Computing-aware video transcoding.  This is a use case for computing-aware traffic steering because video transcoding is a computationally intensive task that can benefit from being executed on computing resources that are closest to the data, rather than being sent over long distances to a centralized computing facility.",66.9670 ms,C
Q 31 What type of services can CCIN provide externally?,"C) Various types. CCIN can provide external services ranging from basic computing capability (FLOPS) to AI model training capabilities, as stated in the passage.",66.0166 ms,C
Q 32 In the integrated communication and computing service provisioning via SMO,[D] O1 and O2 interfaces.  Explanation: Both O1 and O2 interfaces are used to retrieve information in the integrated communication and computing service provisioning via SMO.,67.1051 ms,D
Q 33 What is the main purpose of the Carrier and Cell Switch Off/On use case?,B) Achieve energy savings by switching off cells when traffic demand is low.,66.9425 ms,B
Q 34 In deployment option 1 for energy saving,"B) At the Near-RT RIC  Explanation: In deployment option 1 for energy saving, the AI/ML inference model is hosted at the Near-RT RIC (Radio Interface Controller) because it is responsible for processing and executing the AI/ML tasks close to the radio frequency (RF) signals, reducing the latency and energy consumption.",69.1028 ms,B
Q 35 For a 4T4R O-RU,"B) 150-180 W  Explanation: In the energy saving state, the approximate energy saving per O-RU is around 150-180 W, as mentioned in the given option.",68.7750 ms,B
Q 36 For a 64T64R O-RU,"A) 100-150 W. In the energy saving state, the O-RU consumes approximately 100-150 W of power, as per the given specifications.",66.0369 ms,A
Q 37 Which O-RU components contribute the MOST to energy savings during cell switch-off?,"C) Power Unit and other components.  Explanation: During cell switch-off, the Power Unit and other components contribute the most to energy savings, as they are responsible for reducing power consumption when the cell is not in use.",67.1189 ms,C
Q 38 What is RF Channel Reconfiguration primarily aimed at?,"B) Performing O-RU Tx/Rx Array selection to reduce power consumption.  Explanation: RF Channel Reconfiguration is primarily aimed at selecting the appropriate Transmit (Tx) and Receive (Rx) arrays in an O-RU (Optical Remote Unit) to reduce power consumption, which is option B.",70.5376 ms,B
Q 39 In RF Channel Reconfiguration,"[B] B) 16 out of 64. In a 64T64R mMIMO O-RU, up to 16 Tx/Rx arrays can be switched off to reduce power consumption and save energy.",68.2680 ms,B
Q 40 Does Non-RT or Near-RT RIC controlled Cell Switch Off/On impact 3GPP specifications?,"[B] It requires new 3GPP RAN specifications.  Explanation: Non-RT or Near-RT RIC controlled Cell Switch Off/On is a feature that allows the radio access network (RAN) to switch off or on cells based on the availability of resources, which can impact 3GPP specifications for RAN management and resource allocation.",68.5823 ms,B
Q 41 Which 3GPP specification defines energy saving management for 5G?,"B) TS 28.310  Explanation: TS 28.310 is the 3GPP specification that defines energy saving management for 5G, as stated in the question.",66.6679 ms,B
Q 42 What is the estimated yearly energy saving for 10,"[B] 730-1 MWh.  Explanation:  The estimated yearly energy saving for 10,000 64T64R O-RUs with 3 hours switch-off per day can be calculated as follows:  10,000 x 64 x 24 x 3 = 730,480 kWh  Therefore, the estimated yearly energy saving is 730-1 MWh.",66.3385 ms,B
Q 43 In enrichment information-based traffic steering,"[D] The correct answer is D) C) A1-EI, because it is the interface that delivers enrichment information from Non-RT RIC to Near-RT RIC.",63.5605 ms,D
Q 44 What triggers the Near-RT RIC to request enrichment information in the traffic steering use case?,B) Detection of a cell performance breach (e.g. congestion),65.1113 ms,B
Q 45 Which rApp calculates the geo-location of UEs in the traffic steering use case?,"[C] The correct answer is C) UE location rApp, as the traffic steering use case involves calculating the geo-location of User Equipment (UEs) to determine their proximity to each other and optimize network resource allocation.",68.5445 ms,C
Q 46 What type of prediction does the traffic steering rApp generate?,"Sure, I'd be happy to help! Here's the answer to Q46:  [C] UE trajectory prediction (UE_Traj_Pred)",64.8394 ms,C
Q 47 In the IIoT optimization use case,"A) Ethernet Header Compression (EHC)  Explanation: EHC allows up to 4 RLC entities/legs, which is essential for IIoT optimization.",67.3391 ms,A
Q 48 What is the objective of the Massive MIMO optimization use case?,B) To configure mMIMO parameters using ML-assisted policies for optimal performance.  Explanation: The objective of the Massive MIMO optimization use case is to configure the parameters of massive MIMO systems using machine learning (ML) assisted policies to achieve optimal performance.,69.3372 ms,B
Q 49 NR cell shaping optimization adjusts cell coverage by configuring:,"B) Vertical and horizontal coverage width of the common beam.  Explanation: Q 49 NR cell shaping optimization adjusts cell coverage by configuring the vertical and horizontal coverage width of the common beam, which determines the size and shape of the cell.",67.8724 ms,B
Q 50 In the MIMO Mode Selection (MMS) use case,"B) A) Fronthaul bandwidth allocation.  Explanation: In the MIMO Mode Selection (MMS) use case, the rApp optimizes fronthaul bandwidth allocation.",67.9161 ms,B
Q 51 What data does the Congestion Prediction and Management (CPM) use case rely on?,B) AI/ML model training of KPIs and predicted congestion logic.  Explanation: The Congestion Prediction and Management (CPM) use case relies on AI/ML model training of KPIs and predicted congestion logic to make predictions about future network congestion.,69.5855 ms,B
Q 52 Which interface does the MMS rApp use to communicate recommendations to the SMO?,B) The MMS rApp uses the A1 interface to communicate recommendations to the SMO.,74.9588 ms,B
Q 53 What is a Shared O-RU?,"B) An O-RU that is shared between multiple O-DU nodes.  Explanation: A Shared O-RU (O-Radio Unit) is an O-RU that is shared between multiple O-DU (O-Radio Unit) nodes, allowing for more efficient use of resources and improved coverage.",72.9133 ms,B
Q 54 Which of the following is NOT a benefit of Shared O-RU for single-MNO deployments?,"B) Load balancing.  Explanation: Shared O-RU is not designed for load balancing, as it is intended to provide a single, centralized unit for all radio functions in a multi-MNO deployment.",72.6126 ms,B
Q 55 What happens when a Shared O-RU loses supervision with the O-DU responsible for a partitioned carrier?,"B) It autonomously ceases transmitting on that partitioned carrier.  Explanation: When a Shared O-RU loses supervision with the O-DU responsible for a partitioned carrier, it is no longer able to receive control signals from the O-DU and must stop transmitting on that carrier to avoid interfering with other systems.",70.6970 ms,B
Q 56 In multi-operator Shared O-RU,"Q 56 In multi-operator Shared O-RU, the correct answer is:  B) Physical separation of hardware.  Explanation: Physical separation of hardware prevents a tenant from accessing another tenant's data in a shared Resource Unit (RU).",69.4134 ms,B
Q 57 Which reporting method is NOT supported by the Shared O-RU for performance management?,B) Active collection by O-DU (reading attributes) is NOT supported by the Shared O-RU for performance management.,66.1234 ms,B
Q 58 In the basic resiliency use case for Shared O-RU,B) A timer expiration.,74.0533 ms,B
Q 59 Which SMOS provides RAN NF performance measurement data collection?,C) NFPM (Performance Assurance Management)  Explanation: NFPM is responsible for collecting RAN NF performance measurement data.,73.4671 ms,C
Q 60 What does the SME (Service Management and Exposure) SMOS provide?,"B) SMOS registration; discovery; authentication/authorization; and communication support.  Explanation: The SME (Service Management and Exposure) SMOS provides registration, discovery, authentication/authorization, and communication support for services in an O-Cloud environment.",78.2506 ms,B
Q 61 What is the role of the DME (Data Management and Exposure) SMOS?,"B) Allowing data producers to register data types and consumers to discover and consume data.  Explanation: The DME (Data Management and Exposure) SMOS is responsible for allowing data producers to register their data types and consumers to discover and consume those data types, thereby enabling the exchange of data between different components of the O-Cloud framework.",74.2675 ms,B
Q 62 Which SMOS is responsible for orchestrating O-Cloud resources for NF deployment?,B) DME,65.3203 ms,B
Q 63 What does FOCOM stand for?,B) Federated O-Cloud Orchestration and Management,69.8684 ms,B
Q 64 The Topology Exposure and Inventory (TE&IV) SMOS provides information about:,C) O-RAN resources and their relationships (network view).  Explanation: The Topology Exposure and Inventory (TE&IV) SMOS provides information about the O-RAN resources and their relationships in the network view.,65.9790 ms,C
Q 65 Which SMOS handles RAN subnetwork slice provisioning?,[C] C) FOCOM.  Explanation: FOCOM (Functional Element/Component Operations and Management) is responsible for managing the provisioning of RAN subnetwork slices.,66.5505 ms,C
Q 66 What is the R1 interface used for?,"B) Interface between rApps and the SMO/Non-RT RIC framework.  Explanation: The R1 interface is used for communication between rApps (Radio Access Network applications) and the SMO (Service Management Object), which is part of the Non-RT RIC (Radio Access Network Intelligent Controller) framework.",66.2525 ms,B
Q 67 Which lifecycle management actions can the NFO SMOS perform?,"B) Healing; updates; scaling; software upgrades; and termination.  Explanation: The NFO SMOS can perform lifecycle management actions such as healing, updates, scaling, software upgrades, and termination.",65.4913 ms,B
Q 68 Which of the following is NOT a fundamental resiliency concept in O-RAN?,"B) Fault detection and recovery is NOT a fundamental resiliency concept in O-RAN.  Explanation: O-RAN emphasizes the use of open interfaces and standardized components to promote interoperability and reduce vendor lock-in. While fault detection and recovery are important aspects of resilience, they are not considered fundamental concepts in O-RAN.",64.8903 ms,B
Q 69 Which O-RAN release is noted as having insufficient coverage for end-to-end resiliency?,"B) Release 002.  This is because, according to the O-RAN Alliance, Release 002 does not provide sufficient coverage for end-to-end resiliency, as stated in the O-RAN Architecture and Interface Specification (O-RAN A&I).",64.3996 ms,B
Q 70 How can the O-DU detect O-RU failures?,A) Via core network signaling.  Explanation: The O-DU can detect O-RU failures by receiving notifications from the core network through signaling messages.,69.8992 ms,A
Q 71 Which protocol provides transport-level redundancy for the F1-C interface?,"B) UDP  Explanation: The F1-C interface requires transport-level redundancy, which is provided by UDP (User Datagram Protocol).",67.2169 ms,B
Q 72 What role does the SMO play in resiliency?,"C) It monitors criteria; triggers reconfiguration actions; and manages resiliency policies.  Explanation: The System Management Office (SMO) plays a crucial role in ensuring the resilience of a system by monitoring criteria, triggering reconfiguration actions, and managing resiliency policies.",65.6320 ms,C
Q 73 Multi-layered resiliency in O-RAN spans:,"C) Both physical and virtual components.  Explanation: O-RAN architecture includes both physical and virtual components, such as radio units, baseband units, and software-defined networking elements, to ensure multi-layered resiliency and enable flexible and scalable network deployment.",63.6845 ms,C
Q 74 Which of the following is a gap identified in O-RAN resiliency specifications?,"B) O-CU-CP failures and O-Cloud NF Deployment failures handling.  Explanation: The gap identified in O-RAN resiliency specifications is the lack of guidance on how to handle O-CU-CP failures and O-Cloud NF deployment failures, which can impact the overall resilience of the network.",64.2140 ms,B
Q 75 Which working groups are involved in the O-RAN resiliency study?,"B) WG1; WG4; WG6; WG9; and WG11.  Explanation: The O-RAN resiliency study involves multiple working groups, including those responsible for network architecture (WG1), radio access network (RAN) architectures (WG4), core network architectures (WG6), security (WG9), and network management and orchestration (WG11).",66.8266 ms,B
Q 76 In TN-NTN interworking,"B) A) Service Network Operator.  Explanation: SNO stands for Service Network Operator, which is a term used in TN-NTN interworking to refer to the entity that manages and operates the service network.",67.3099 ms,B
Q 77 What is the main challenge in TN-NTN coverage information sharing?,"B) Current interfaces don't support sharing coverage information between operator domains.  Explanation: The main challenge in TN-NTN coverage information sharing is that current interfaces do not support sharing coverage information between operator domains, making it difficult to provide seamless coverage across different networks.",67.8918 ms,B
Q 78 Why is automated coverage information exchange needed between TN and NTN?,B) Because both TN and NTN footprints are continuously evolving and dynamic.,65.1995 ms,B
Q 79 What information does the NTN segment need to communicate to the TN segment?,"B) Active or potential NTN coverage; applicable cells; configuration; and satellite ephemeris.  Explanation: The NTN (Network Timing Node) segment needs to communicate with the TN (Timing Node) segment to provide information about active or potential NTN coverage, applicable cells, configuration, and satellite ephemeris. This information is necessary for the TN segment to determine the timing of messages and ensure accurate synchronization between the segments.",69.7681 ms,B
Q 80 Most MNOs seeking NTN integration will likely:,"C) Form agreements with Satellite Network Operators (SNOs)  Explanation: Most Mobile Network Operators (MNOs) seeking NTN integration will likely form agreements with Satellite Network Operators (SNOs) to leverage their existing satellite infrastructure and expertise, rather than building their own ground stations or deploying and operating their own satellites.",64.5385 ms,C
Q 81 What does PNF stand for in O-RAN?,"Sure, I'd be happy to help! Here's the answer to Q 81:  [B] Physical Network Function.  PNF stands for Physical Network Function, which refers to the physical components and resources used to implement network functions in O-RAN.",73.6016 ms,B
Q 82 Which requirement mandates O-RAN OAM Architecture to support virtualization of RAN components?,"[C] REQ-M&O-FUN3.  The O-RAN OAM architecture is required to support virtualization of RAN components because it mandates the use of software-defined networking (SDN) and network functions virtualization (NFV) technologies, as stated in requirement REQ-M&O-FUN3.",69.3985 ms,C
Q 83 What does REQ-M&O-NFUN3 require the O-RAN OAM Architecture to support?,"B) Analytics and AI/ML to improve efficiency and reduce costs.  REQ-M&O-NFUN3 requires the O-RAN OAM Architecture to support analytics and AI/ML to improve efficiency and reduce costs, as stated in the requirement.",67.3617 ms,B
Q 84 Which protocol is used for synchronization in O-Cloud platform runtime?,C) Precision Time Protocol (PTP),66.4786 ms,C
Q 85 OpenStack is typically used in O-Cloud for which type of deployment?,"Sure, I'd be happy to help! Here's the answer to your question:  Q 85 OpenStack is typically used in O-Cloud for which type of deployment?  Answer: B) Virtual Machine (VM) deployment.  Explanation: OpenStack is a cloud operating system that is commonly used in virtual machine (VM) deployments, such as those found in O-Cloud environments.",65.0366 ms,B
Q 86 Which O-RAN requirement mandates support for network slicing?,"B) REQ-M&O-FUN11.  Network slicing is a key feature of O-RAN, and REQ-M&O-FUN11 mandates support for network slicing in O-RAN architectures.",66.3509 ms,B
Q 87 How does the Shared O-RU feature support network slicing?,"C) Through dynamic resource allocation aspects.  Explanation: The Shared O-RU feature supports network slicing by allowing for the dynamic allocation of resources across different slices, enabling multiple independent networks to share common resources.",66.4389 ms,C
Q 88 In IIoT,"C) By using network slicing where some equipment (gNB) is private and others (UPF) are shared.  Explanation: Network slicing is a technique used in IIoT to allocate resources and isolate different networks on the same physical infrastructure. By using network slicing, it is possible to have both private and shared equipment in the network, allowing for the implementation of a virtual Non-Public Network (NPN).",67.6305 ms,C
Q 89 Where is AI/ML model training primarily performed in O-RAN?,"C) In the Non-RT RIC or SMO.  Explanation: O-RAN (Open Radio Access Network) is a concept that separates the control plane and user plane functions of a radio access network. AI/ML model training is primarily performed in the non-real-time (Non-RT) Radio Interface Controller (RIC) or Service Management and Orchestration (SMO), which are responsible for managing the radio resources and services.",67.0525 ms,C
Q 90 Where does AI/ML inference for near-real-time decisions primarily occur?,"[C] In the Near-RT RIC.  Explanation: Near-real-time (NRT) reasoning and inference for AI/ML decisions primarily occur in the Near-RT RIC (Reasoning and Inference Component), which is designed to process and analyze data in real-time or near-real-time.",66.4728 ms,C
Q 91 Which interface do rApps use to interact with the Non-RT RIC framework?,C) C) R1 interface.  Explanation: RApps use the R1 interface to interact with the Non-RT RIC framework because it provides a standardized way for applications to access the RIC functionality and exchange data with the RIC.,74.0841 ms,C
Q 92 In the energy saving AI/ML workflow,"B) Via the A1 interface.  Explanation: The correct answer is B) Via the A1 interface, because the O1 interface is only used for sending control decisions to E1 nodes, and the A1 interface is used for sending control decisions to E2 nodes.",69.6724 ms,B
Q 93 What does the AI/ML model in the CPM use case predict?,"B) KPIs and congestion before it occurs.  Explanation: The AI/ML model in the CPM use case predicts KPIs and congestion before they occur, allowing for proactive management and optimization of the network.",65.1811 ms,B
Q 94 Which two main WDM technologies are used for 5G fronthaul?,"B) MWDM and DWDM  Explanation: 5G fronthaul requires high-bandwidth, low-latency connections, which can be achieved using multiple wavelengths in WDM technology. MWDM (Multiple Wavelength Division Multiplexing) and DWDM (Dense Wavelength Division Multiplexing) are the two main WDM technologies used for 5G fronthaul due to their ability to support high-density wavelengths and reduce signal interference.",74.8498 ms,B
Q 95 How many bidirectional channels does MWDM define for its maximum configuration?,[C] C) 12 channels. MWDM defines 12 bidirectional channels for its maximum configuration.,67.2771 ms,C
Q 96 What wavelength range does DWDM C-Band use for 5G fronthaul?,"[C] C) 1600-1650 nm. This is the wavelength range used by DWDM C-Band for 5G fronthaul, as it offers the best balance of spectral efficiency and transmission distance.",69.6774 ms,C
Q 97 What is the adjacent channel spacing for MWDM transmitters?,"C) 7 nm or 13 nm.  Explanation: The adjacent channel spacing for MWDM transmitters is typically 7 nm or 13 nm, which is the minimum distance between the center frequencies of two adjacent channels to avoid interference.",69.9597 ms,C
Q 98 Which receiver technology can extend MWDM transmission distance beyond 10 km up to 20 km?,B) Avalanche Photo Diode (APD)  Explanation: The use of Avalanche Photo Diodes (APDs) can extend the transmission distance of Multi-Wavelength Dense Wavelength Division Multiplexing (MWDM) beyond 10 km up to 20 km.,69.4982 ms,B
Q 99 According to ITU-T what does coordination of computing and networking encompass?,"Q 99: B) Coordination of utilization; control; and management of computing; storage; and networking resources.  Coordination of computing and networking encompasses the management and coordination of all three resources (computing, storage, and networking) to ensure efficient and effective use of resources in a networked system.  Q 100: C) The Open Networking Foundation (ONF).  The ONF provides the reference framework for network virtualization that O-RAN builds upon, offering a standardized approach to virtualizing network functions and infrastructure.",66.2957 ms,B
Q 100 Which organization provides the reference framework for network virtualization that O-RAN builds upon?,"[C] The correct answer is C) ETSI ISG NFV, as O-RAN builds upon the reference framework for network virtualization provided by ETSI ISG NFV.",66.4598 ms,C
